Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price
Sunshine North,25 Lodden St,4,h,S,Douglas,7/11/2016,13.3,3020.0,4.0,1.0,2.0,581.0,130,1950.0,Brimbank City Council,-37.7712,144.8336,Western Metropolitan,4217.0,Parkade,626800.0
Balwyn North,41 Helston St,4,h,VB,One,22/08/2016,9.2,3104.0,4.0,2.0,4.0,587.0,165,1960.0,Boroondara City Council,-37.7841,145.0953,Southern Metropolitan,7809.0,Underground,1900000.0
Balwyn North,28 Walnut Rd,4,h,S,Fletchers,14/05/2016,9.2,3104.0,3.0,3.0,2.0,665.0,232,1970.0,Boroondara City Council,-37.7889,145.0904,Southern Metropolitan,7809.0,Parking Pad,1950000.0
Eltham,5 Thomas St,3,h,VB,Morrison,19/08/2017,18.0,3095.0,3.0,2.0,2.0,868.0,135,1980.0,Banyule City Council,-37.70659,145.16345,Eastern Metropolitan,6990.0,Attached Garage,810000.0
Pascoe Vale,24 Alexandra St,3,h,S,Brad,4/6/2016,9.9,3044.0,3.0,1.0,2.0,568.0,111,1960.0,Moreland City Council,-37.7178,144.9422,Northern Metropolitan,7485.0,Parkade,731000.0
Altona North,25 Allan St,4,h,SP,Jas,8/10/2016,11.1,3025.0,3.0,1.0,4.0,559.0,169,1965.0,Hobsons Bay City Council,-37.8448,144.8529,Western Metropolitan,5132.0,Indoor,875000.0
Coburg,3/58 Moore St,3,t,VB,Nelson,8/10/2016,7.8,3058.0,3.0,2.0,1.0,255.0,164,2014.0,Darebin City Council,-37.7546,144.9713,Northern Metropolitan,11204.0,Parkade,740000.0
Hampton,24 Gordon St,5,h,VB,Marshall,18/11/2017,13.8,3188.0,5.0,2.0,4.0,1088.0,324,1990.0,Bayside City Council,-37.9304,144.9973,Southern Metropolitan,5454.0,Parkade,4500000.0
Richmond,81 Erin St,3,h,S,Biggin,3/9/2016,2.6,3121.0,2.0,1.0,0.0,203.0,81,1900.0,Yarra City Council,-37.8166,144.9945,Northern Metropolitan,14949.0,Detached Garage,1260000.0
Windsor,8/14 Newry St,2,u,S,Beller,28/08/2016,5.1,3181.0,2.0,1.0,1.0,0.0,66,1985.0,Port Phillip City Council,-37.8552,145.0005,Southern Metropolitan,4380.0,Parkade,474000.0
Brighton,42 Ebden St,3,h,S,Jellis,3/3/2018,10.5,3186.0,3.0,1.0,1.0,468.0,169,1910.0,Bayside City Council,-37.88786,144.99853,Southern Metropolitan,10579.0,Parkade,1826000.0
Brighton,17 Rusden St,4,h,VB,Hodges,30/07/2016,11.2,3186.0,3.0,2.0,1.0,549.0,195.0,1990.0,Bayside City Council,-37.8869,144.9982,Southern Metropolitan,10579.0,Attached Garage,1500000.0
Northcote,338 Separation St,2,t,SP,Nelson,17/09/2016,5.5,3070.0,2.0,1.0,1.0,0.0,109,2000.0,Darebin City Council,-37.7711,145.013,Northern Metropolitan,11364.0,Detached Garage,701000.0
Hadfield,75 West St,3,h,S,Stockdale,10/12/2016,12.1,3046.0,3.0,2.0,2.0,565.0,116,1960.0,Moreland City Council,-37.7094,144.9377,Northern Metropolitan,2606.0,Attached Garage,800000.0
Reservoir,29 Dredge St,3,h,PI,Barry,6/8/2016,11.2,3073.0,3.0,1.0,2.0,543.0,135,1965.0,Darebin City Council,-37.6946,144.9962,Northern Metropolitan,21650.0,Indoor,510000.0
Bundoora,8 Cherrywood Ct,3,h,S,Ray,18/11/2017,12.1,3083.0,3.0,2.0,2.0,609.0,132,1970.0,Banyule City Council,-37.7049,145.0561,Northern Metropolitan,10175.0,Detached Garage,820500.0
Newport,8 Brown St,4,h,S,Sweeney,16/09/2017,6.2,3015.0,4.0,1.0,0.0,325.0,160,1983.0,Hobsons Bay City Council,-37.84373,144.88604,Western Metropolitan,5498.0,Parkade,1210000.0
Elsternwick,11/39 Horne St,3,t,VB,McGrath,12/11/2016,8.5,3185.0,3.0,2.0,2.0,108.0,3,2002.0,Glen Eira City Council,-37.8858,145.0012,Southern Metropolitan,4898.0,Carport,820000.0
Attwood,12 Chandos Pl,4,h,VB,Barry,9/12/2017,16.5,3049.0,4.0,2.0,3.0,657.0,36,2004.0,Hume City Council,-37.66884,144.88636,Northern Metropolitan,1130.0,Outdoor Stall,820000.0
Hampton,28 The Avenue,4,h,SP,Hodges,27/05/2017,13.8,3188.0,4.0,2.0,2.0,726.0,200,1925.0,Bayside City Council,-37.93167,145.00134,Southern Metropolitan,5454.0,Carport,2550000.0
Ardeer,17 Helene St,4,h,S,Barry,9/12/2017,12.8,3022.0,4.0,2.0,2.0,602.0,185,1970.0,Brimbank City Council,-37.7789,144.80517,Western Metropolitan,1281.0,Underground,740000.0
Mernda,18 Elmore Wy,3,h,S,RW,21/10/2017,25.9,3754.0,3.0,2.0,2.0,523.0,26,2011.0,Whittlesea City Council,-37.58794,145.09225,Northern Metropolitan,5812.0,Attached Garage,636000.0
Yarraville,109 Powell St,3,h,S,Jas,4/3/2017,7.0,3013.0,3.0,2.0,2.0,473.0,171,1920.0,Maribyrnong City Council,-37.8217,144.8842,Western Metropolitan,6543.0,Attached Garage,1320000.0
Surrey Hills,25 James St,5,h,S,Jellis,27/05/2017,10.2,3127.0,5.0,2.0,0.0,739.0,266.53,1927.0,Boroondara City Council,-37.81708,145.09566,Southern Metropolitan,5457.0,Carport,2505000.0
Epping,11 Northumberland Dr,3,h,S,Barry,9/9/2017,19.6,3076.0,3.0,2.0,2.0,535.0,148,1970.0,Whittlesea City Council,-37.64372,145.03761,Northern Metropolitan,10926.0,Parkade,641000.0
Bentleigh East,45 Tambet St,3,h,SP,Buxton,3/9/2017,13.8,3165.0,3.0,2.0,2.0,616.0,154,1960.0,Glen Eira City Council,-37.91506,145.07121,Southern Metropolitan,10969.0,Attached Garage,1470000.0
Abbotsford,55a Park St,4,h,VB,Nelson,4/6/2016,2.5,3067.0,3.0,1.0,2.0,120.0,142,2014.0,Yarra City Council,-37.8072,144.9941,Northern Metropolitan,4019.0,Outdoor Stall,1600000.0
Preston,21 Edwin St,3,h,S,McGrath,24/06/2017,8.4,3072.0,3.0,2.0,3.0,468.0,135.5,1940.0,Darebin City Council,-37.75335,145.01642,Northern Metropolitan,14577.0,Underground,1242000.0
Thomastown,37 Arndell St,3,h,SP,Ray,14/10/2017,15.3,3074.0,3.0,2.0,2.0,666.0,97,1975.0,Whittlesea City Council,-37.67353,145.01125,Northern Metropolitan,7955.0,Attached Garage,850000.0
Hampton,4/308 Hampton St,2,u,S,RT,18/03/2017,13.7,3188.0,2.0,2.0,1.0,225.0,118,1970.0,Bayside City Council,-37.9442,145.0018,Southern Metropolitan,5454.0,Attached Garage,875500.0
Kew,68 Pakington St,3,h,S,Jellis,28/10/2017,5.4,3101.0,3.0,1.0,1.0,339.0,142.0,1890.0,Boroondara City Council,-37.80053,145.03529,Southern Metropolitan,10331.0,Attached Garage,1752000.0
Oakleigh,53 William St,3,h,SP,Buxton,15/10/2016,14.0,3166.0,3.0,2.0,2.0,544.0,146,1970.0,Monash City Council,-37.9055,145.1024,Southern Metropolitan,3224.0,Parkade,1050000.0
Carrum Downs,5 Atkins Ct,3,h,S,Ray,17/06/2017,34.9,3201.0,3.0,2.0,2.0,509.0,125,1993.0,Frankston City Council,-38.09111,145.19084,South-Eastern Metropolitan,8060.0,Underground,500000.0
Croydon,13 Robinson St,3,h,S,Philip,27/05/2017,23.0,3136.0,3.0,1.0,2.0,455.0,156,1960.0,Maroondah City Council,-37.79318,145.25811,Eastern Metropolitan,11925.0,Carport,637000.0
Moonee Ponds,26 Scotia St,2,h,PI,Barry,3/6/2017,6.2,3039.0,2.0,1.0,0.0,251.0,110,1980.0,Moonee Valley City Council,-37.76856,144.90577,Western Metropolitan,6232.0,Attached Garage,760000.0
Airport West,1/37 Hillside Gr,3,h,S,Maddison,4/3/2017,13.5,3042.0,2.0,1.0,1.0,290.0,116,1980.0,Moonee Valley City Council,-37.7273,144.8744,Western Metropolitan,3464.0,Indoor,600000.0
Healesville,15A Westmount Rd,3,h,SP,McGrath,1/7/2017,45.2,3777.0,3.0,2.0,4.0,724.0,156.6,2009.0,Yarra Ranges Shire Council,-37.64685,145.52635,Northern Victoria,3307.0,Parkade,650000.0
Sunshine,8 Station Pl,3,h,S,Bells,19/11/2016,12.6,3020.0,3.0,1.0,3.0,463.0,107,1925.0,Brimbank City Council,-37.7905,144.8359,Western Metropolitan,3755.0,Detached Garage,880000.0
Brighton East,4 Farmer St,2,h,S,Buxton,15/10/2016,10.7,3187.0,2.0,1.0,2.0,604.0,145,1950.0,Bayside City Council,-37.9268,145.0094,Southern Metropolitan,6938.0,Attached Garage,1845000.0
Brighton,82 New St,5,h,VB,Kay,18/06/2016,11.2,3186.0,4.0,3.0,4.0,1572.0,305,1890.0,Bayside City Council,-37.9233,144.9944,Southern Metropolitan,10579.0,Parkade,3700000.0
Balwyn North,67 Winfield Rd,4,h,SA,Fletchers,22/07/2017,9.7,3104.0,4.0,4.0,3.0,929.0,266,1960.0,Boroondara City Council,-37.79497,145.10538,Southern Metropolitan,7809.0,Parkade,1850000.0
Botanic Ridge,15 Bellis Cct,4,h,S,Bowman,18/11/2017,34.7,3977.0,4.0,2.0,2.0,629.0,223,2010.0,Casey City Council,-38.1452,145.2512,South-Eastern Metropolitan,1240.0,Attached Garage,750000.0
Malvern East,3/2 Kardella St,3,u,S,hockingstuart,18/06/2016,11.2,3145.0,2.0,1.0,1.0,170.0,83,1975.0,Stonnington City Council,-37.8689,145.0504,Southern Metropolitan,8801.0,Attached Garage,707500.0
Highett,38 Nicol St,4,h,SP,Buxton,24/02/2018,16.0,3190.0,4.0,2.0,2.0,589.0,158,1950.0,Bayside City Council,-37.94832,145.02815,Southern Metropolitan,4794.0,Carport,1650000.0
Gladstone Park,16 Hall Rd,3,h,SP,Barry,18/11/2017,12.9,3043.0,3.0,1.0,4.0,549.0,114,1980.0,Hume City Council,-37.6916,144.8982,Western Metropolitan,3285.0,Attached Garage,650000.0
Elwood,5 Tiuna Gr,3,h,S,Marshall,12/11/2016,7.7,3184.0,4.0,2.0,6.0,737.0,207,1915.0,Port Phillip City Council,-37.8839,144.9831,Southern Metropolitan,8989.0,Carport,3572000.0
Box Hill,6/29 Barkly St,2,u,S,McGrath,4/3/2017,13.1,3128.0,2.0,1.0,1.0,140.0,81,1965.0,Whitehorse City Council,-37.8271,145.1299,Eastern Metropolitan,4605.0,Parkade,645000.0
South Yarra,37 Grosvenor St,3,h,S,hockingstuart,18/06/2016,3.3,3141.0,3.0,1.0,1.0,211.0,18,1906.0,Melbourne City Council,-37.8442,144.9928,Southern Metropolitan,14887.0,Attached Garage,1810000.0
Reservoir,40b Drysdale St,3,t,S,Nelson,7/5/2016,11.2,3073.0,3.0,2.0,1.0,158.0,117,2011.0,Darebin City Council,-37.7293,145.0216,Northern Metropolitan,21650.0,Indoor,620500.0
Bentleigh East,14 Charles St,3,t,S,hockingstuart,19/11/2016,13.9,3165.0,3.0,2.0,2.0,230.0,160,2012.0,Glen Eira City Council,-37.9179,145.0592,Southern Metropolitan,10969.0,Outdoor Stall,935000.0
Wallan,37 Danaher Av,3,h,S,Ray,4/11/2017,44.2,3756.0,3.0,1.0,2.0,679.0,136,1985.0,Mitchell Shire Council,-37.4072,144.9759,Northern Victoria,3988.0,Carport,411000.0
Carnegie,3/13 Emily St,2,u,S,Marshall,4/3/2017,11.4,3163.0,2.0,1.0,1.0,0.0,69,1970.0,Glen Eira City Council,-37.8912,145.0644,Southern Metropolitan,7822.0,Parkade,510000.0
Carnegie,1/38 Neville St,3,u,S,Woodards,10/9/2016,11.4,3163.0,3.0,1.0,2.0,0.0,170,1925.0,Glen Eira City Council,-37.8977,145.0493,Southern Metropolitan,7822.0,Indoor,1170000.0
Ferntree Gully,24a Helen Rd,2,u,S,Schroeder,27/05/2017,24.8,3156.0,2.0,2.0,1.0,306.0,120,2011.0,Knox City Council,-37.87275,145.26325,Eastern Metropolitan,10788.0,Underground,617000.0
Melton West,9 Morrow St,3,h,S,FN,6/1/2018,31.7,3337.0,3.0,2.0,4.0,796.0,132,1980.0,Melton City Council,-37.67725,144.55421,Northern Victoria,6065.0,Parkade,518000.0
Craigieburn,19 Bradshaw Av,4,h,S,LJ,28/10/2017,20.6,3064.0,4.0,2.0,2.0,399.0,183.0,2013.0,Hume City Council,-37.57322,144.90475,Northern Metropolitan,15510.0,Parking Pad,620000.0
Caulfield North,9/400 Dandenong Rd,2,u,VB,Gary,10/9/2016,8.1,3161.0,2.0,1.0,1.0,0.0,56,2012.0,Glen Eira City Council,-37.861,145.0136,Southern Metropolitan,6923.0,Parking Pad,420000.0
Elsternwick,22 Carlingford St,4,h,PI,Biggin,27/06/2016,8.5,3185.0,3.0,3.0,2.0,420.0,270,2016.0,Glen Eira City Council,-37.8891,145.0102,Southern Metropolitan,4898.0,Indoor,2050000.0
Rowville,19 Ling Dr,4,h,SP,Harcourts,24/02/2018,23.5,3178.0,4.0,2.0,2.0,727.0,218,1990.0,Knox City Council,-37.92628,145.24259,South-Eastern Metropolitan,11667.0,Carport,920000.0
Sunshine,81 Parsons St,3,h,S,Bells,27/05/2017,10.5,3020.0,3.0,2.0,2.0,573.0,198,1940.0,Brimbank City Council,-37.79127,144.83713,Western Metropolitan,3755.0,Outdoor Stall,1070000.0
Melton,2 Kym Pl,4,h,S,Ryder,17/06/2017,31.7,3337.0,4.0,2.0,2.0,642.0,199.5,2004.0,Melton City Council,-37.69159,144.5864,Western Victoria,3600.0,Carport,420000.0
Boronia,15 New St,4,h,SP,Noel,29/07/2017,25.0,3155.0,4.0,2.0,2.0,723.0,1.0,1970.0,Knox City Council,-37.8476,145.29493,Eastern Metropolitan,9704.0,Parkade,770000.0
Bentleigh East,25 Thornton St,3,h,PI,Buxton,12/11/2016,13.9,3165.0,3.0,2.0,2.0,578.0,120,1950.0,Glen Eira City Council,-37.9303,145.0805,Southern Metropolitan,10969.0,Carport,920000.0
Hampton,66a Thomas St,3,h,S,hockingstuart,7/5/2016,13.7,3188.0,4.0,2.0,3.0,373.0,113,1984.0,Bayside City Council,-37.9395,145.0088,Southern Metropolitan,5454.0,Outdoor Stall,1120000.0
Yarraville,43 Ballarat St,2,h,S,Jas,25/02/2017,7.0,3013.0,2.0,1.0,0.0,128.0,80,1920.0,Maribyrnong City Council,-37.8179,144.8908,Western Metropolitan,6543.0,Detached Garage,767000.0
Maribyrnong,705/60 Edgewater Bvd,2,u,S,Raine,18/06/2016,8.7,3032.0,2.0,2.0,1.0,3014.0,80,2012.0,Maribyrnong City Council,-37.7853,144.8944,Western Metropolitan,4918.0,Detached Garage,566000.0
Glen Iris,73 Pascoe St,3,h,S,Jellis,7/5/2016,9.2,3146.0,3.0,2.0,2.0,625.0,188,1951.0,Boroondara City Council,-37.8602,145.0925,Southern Metropolitan,10412.0,Attached Garage,1700000.0
Malvern East,78 Emo Rd,4,h,S,Marshall,3/12/2016,11.2,3145.0,4.0,2.0,3.0,0.0,223,1915.0,Stonnington City Council,-37.8755,145.0523,Southern Metropolitan,8801.0,Carport,2355000.0
South Kingsville,1/11 New St,3,u,S,Sweeney,25/02/2017,9.1,3015.0,3.0,1.0,2.0,144.0,92,1980.0,Hobsons Bay City Council,-37.8268,144.8675,Western Metropolitan,984.0,Attached Garage,508000.0
Balwyn,349 Union Rd,6,h,VB,Jellis,3/12/2016,9.7,3103.0,6.0,4.0,7.0,2051.0,449,1935.0,Boroondara City Council,-37.8051,145.1016,Southern Metropolitan,5682.0,Attached Garage,4000000.0
Oak Park,104 Vincent St,3,h,PI,Brad,14/10/2017,11.2,3046.0,3.0,1.0,1.0,570.0,123,1960.0,Moreland City Council,-37.71611,144.91064,Northern Metropolitan,2651.0,Indoor,780000.0
Maidstone,18 Pullar St,2,h,S,Burnham,22/07/2017,6.4,3012.0,2.0,1.0,2.0,312.0,89,1990.0,Maribyrnong City Council,-37.78353,144.87233,Western Metropolitan,3873.0,Indoor,468000.0
Ormond,1/75 Lillimur Rd,2,u,S,Gary,19/11/2016,11.8,3204.0,2.0,1.0,1.0,0.0,52,2011.0,Glen Eira City Council,-37.8986,145.042,Southern Metropolitan,3578.0,Attached Garage,475000.0
Maribyrnong,8 Mitchell St,4,h,S,hockingstuart,8/7/2017,4.3,3032.0,4.0,1.0,3.0,697.0,155,1920.0,Maribyrnong City Council,-37.78352,144.88981,Western Metropolitan,4918.0,Attached Garage,1340000.0
Hawthorn,41/168 Power St,1,u,S,Domain,17/06/2017,5.3,3122.0,1.0,1.0,1.0,0.0,53,1970.0,Boroondara City Council,-37.82538,145.02546,Southern Metropolitan,11308.0,Attached Garage,375000.0
Niddrie,44 Jackson St,5,h,VB,Nelson,17/09/2016,11.2,3042.0,4.0,2.0,2.0,650.0,290,2005.0,Moonee Valley City Council,-37.7391,144.8875,Western Metropolitan,2291.0,Indoor,1400000.0
Richmond,44 Neptune St,2,h,S,Jellis,7/10/2017,2.4,3121.0,2.0,1.0,0.0,132.0,68,1890.0,Yarra City Council,-37.82105,145.0068,Northern Metropolitan,14949.0,Indoor,1055000.0
Glen Waverley,2/25 Fernhill St,2,u,S,Ray,15/07/2017,16.7,3150.0,2.0,1.0,1.0,229.0,101,1990.0,Monash City Council,-37.87606,145.15951,Eastern Metropolitan,15321.0,Detached Garage,960000.0
Bentleigh East,3 Greenview Ct,5,h,S,Buxton,21/10/2017,13.8,3165.0,5.0,5.0,2.0,675.0,395,2017.0,Glen Eira City Council,-37.93633,145.07342,Southern Metropolitan,10969.0,Indoor,2055000.0
Hampton,64 Earlsfield Rd,4,h,S,Buxton,27/06/2016,13.7,3188.0,4.0,3.0,2.0,562.0,228,1950.0,Bayside City Council,-37.9369,145.0163,Southern Metropolitan,5454.0,Attached Garage,1460000.0
Burwood,11 Stephens St,3,h,SP,Buxton,3/3/2018,10.4,3125.0,3.0,1.0,2.0,772.0,112,1960.0,Monash City Council,-37.85628,145.10906,Southern Metropolitan,5678.0,Parkade,1388000.0
Fawkner,13 Mutton Rd,3,h,S,Crane,7/11/2016,12.4,3060.0,3.0,1.0,1.0,614.0,94,1960.0,Hume City Council,-37.7141,144.9677,Northern Metropolitan,5070.0,Attached Garage,540000.0
Carnegie,7/177 Oakleigh Rd,2,u,SP,hockingstuart,8/7/2017,10.1,3163.0,2.0,1.0,1.0,0.0,72,1970.0,Glen Eira City Council,-37.9003,145.06342,Southern Metropolitan,7822.0,Underground,580010.0
Bulleen,67 Rocklea Rd,3,h,S,Fletchers,17/02/2018,10.8,3105.0,3.0,2.0,2.0,650.0,131,1970.0,Manningham City Council,-37.77022,145.08623,Eastern Metropolitan,4480.0,Attached Garage,1198000.0
Kensington,49 Robertson St,3,h,S,Nelson,22/08/2016,4.2,3031.0,3.0,1.0,1.0,312.0,109,1915.0,Melbourne City Council,-37.793,144.934,Northern Metropolitan,5263.0,Attached Garage,1230000.0
Truganina,21 Montezuma Av,4,h,S,hockingstuart,7/10/2017,18.4,3029.0,4.0,2.0,2.0,601.0,226,2013.0,Melton City Council,-37.83909,144.70557,Western Metropolitan,5811.0,Attached Garage,667000.0
Heidelberg West,312 Liberty Pde,3,h,S,Haughton,27/05/2017,8.8,3081.0,3.0,1.0,2.0,377.0,115.96,1960.0,Banyule City Council,-37.73712,145.0369,Eastern Metropolitan,2674.0,Detached Garage,605000.0
Armadale,18A New St,2,h,S,Jellis,19/08/2017,6.3,3143.0,2.0,1.0,1.0,181.0,80,1930.0,Stonnington City Council,-37.8542,145.01506,Southern Metropolitan,4836.0,Attached Garage,1460000.0
Yarraville,7/88 Stephen St,2,u,S,hockingstuart,4/3/2017,7.0,3013.0,2.0,1.0,1.0,1555.0,92,2013.0,Maribyrnong City Council,-37.8156,144.8943,Western Metropolitan,6543.0,Detached Garage,782000.0
Rosanna,29 Thomson Dr,4,h,S,Ray,10/2/2018,8.9,3084.0,4.0,2.0,2.0,762.0,153,1980.0,Banyule City Council,-37.73281,145.0693,Eastern Metropolitan,3540.0,Carport,1210000.0
Bentleigh East,71 Bignell Rd,4,h,S,hockingstuart,7/5/2016,13.9,3165.0,4.0,2.0,2.0,619.0,191,1960.0,Glen Eira City Council,-37.9358,145.0688,Southern Metropolitan,10969.0,Parkade,1200000.0
Kingsbury,1/21 The Fairway,3,u,PI,Darren,3/12/2016,12.4,3083.0,3.0,2.0,1.0,218.0,110,2004.0,Darebin City Council,-37.7133,145.0374,Northern Metropolitan,1414.0,Carport,480000.0
Ashburton,9 Pitt St,4,h,S,Tim,28/05/2016,11.0,3147.0,4.0,2.0,2.0,844.0,278,1940.0,Boroondara City Council,-37.8715,145.0688,Southern Metropolitan,3052.0,Carport,1950000.0
Kensington,13 Albermarle St,3,h,S,Nelson,3/3/2018,3.4,3031.0,3.0,2.0,0.0,146.0,138,1891.0,Melbourne City Council,-37.79611,144.93305,Northern Metropolitan,5263.0,Carport,1390000.0
Armadale,16/74 Denbigh Rd,2,u,S,hockingstuart,22/07/2017,6.3,3143.0,2.0,1.0,2.0,0.0,63,1960.0,Stonnington City Council,-37.85549,145.0163,Southern Metropolitan,4836.0,Attached Garage,486000.0
Glen Iris,5 Charles St,4,h,S,Marshall,10/12/2016,9.2,3146.0,4.0,2.0,2.0,659.0,212,1930.0,Boroondara City Council,-37.8509,145.0916,Southern Metropolitan,10412.0,Underground,2010000.0
Heidelberg West,2/287 Liberty Pde,2,t,VB,Miles,7/5/2016,9.4,3081.0,2.0,1.0,1.0,100.0,90,2013.0,Banyule City Council,-37.7383,145.036,Eastern Metropolitan,2674.0,Indoor,370000.0
Werribee,3 Penn Cl,3,h,S,Barry,9/12/2017,14.7,3030.0,3.0,3.0,2.0,726.0,207,1985.0,Wyndham City Council,-37.9009,144.67386,Western Metropolitan,16166.0,Detached Garage,627500.0
Yarraville,62 Stephen St,3,h,SP,Village,8/7/2017,6.3,3013.0,3.0,1.0,1.0,284.0,124,1900.0,Maribyrnong City Council,-37.81335,144.89471,Western Metropolitan,6543.0,Detached Garage,1285000.0
Donvale,10 Ellerton Ct,5,h,S,Ray,24/02/2018,16.1,3111.0,5.0,3.0,3.0,1366.0,290,1980.0,Manningham City Council,-37.77848,145.17597,Eastern Metropolitan,4790.0,Attached Garage,1898000.0
Preston,2/2 Josephine Gr,2,u,SP,Love,21/10/2017,8.4,3072.0,2.0,1.0,1.0,706.0,65,1970.0,Darebin City Council,-37.73543,145.0162,Northern Metropolitan,14577.0,Carport,440000.0
Deer Park,31 Poole St,3,h,S,Douglas,28/10/2017,14.8,3023.0,3.0,1.0,2.0,691.0,101.0,1960.0,Brimbank City Council,-37.77382,144.77038,Western Metropolitan,6388.0,Parkade,765000.0
Prahran,203/11 Hillingdon Pl,3,u,S,Edward,4/6/2016,4.5,3181.0,2.0,1.0,1.0,0.0,114,1900.0,Stonnington City Council,-37.8516,144.9943,Southern Metropolitan,7717.0,Parkade,710000.0
Balwyn North,9 Stephens St,5,h,PI,Marshall,18/06/2016,9.2,3104.0,5.0,5.0,4.0,1364.0,518,2013.0,Boroondara City Council,-37.7961,145.0859,Southern Metropolitan,7809.0,Outdoor Stall,4000000.0
Kew,6 Carson St,4,h,SP,Jellis,26/08/2017,5.4,3101.0,4.0,3.0,2.0,741.0,281,1920.0,Boroondara City Council,-37.81031,145.01955,Southern Metropolitan,10331.0,Outdoor Stall,3300000.0
Watsonia,18 Barry St,3,h,S,Barry,22/07/2017,14.5,3087.0,3.0,1.0,1.0,598.0,104.4,1975.0,Banyule City Council,-37.717,145.08891,Northern Metropolitan,2329.0,Indoor,830000.0
Frankston,50 Towerhill Rd,4,h,S,Ray,15/07/2017,38.0,3199.0,4.0,1.0,1.0,622.0,163,1960.0,Frankston City Council,-38.16146,145.12997,South-Eastern Metropolitan,17055.0,Outdoor Stall,755000.0
Thomastown,18 Darebin Dr,3,h,S,Harcourts,24/06/2017,15.3,3074.0,3.0,1.0,2.0,555.0,135,1970.0,Whittlesea City Council,-37.68211,145.03204,Northern Metropolitan,7955.0,Indoor,651000.0
Keilor Park,31 Swan St,3,h,S,Nelson,8/10/2016,14.5,3042.0,3.0,1.0,1.0,696.0,132,1975.0,Brimbank City Council,-37.725,144.8586,Western Metropolitan,1119.0,Carport,720000.0
Coburg,74 Glengyle St,3,h,PI,Nelson,9/12/2017,6.7,3058.0,3.0,1.0,2.0,382.0,109,1920.0,Darebin City Council,-37.7545,144.97739,Northern Metropolitan,11204.0,Detached Garage,1050000.0
Dingley Village,11 Seaton Dr,4,h,PI,Ray,24/02/2018,22.2,3172.0,4.0,2.0,2.0,558.0,142,2004.0,Kingston City Council,-37.97801,145.13348,South-Eastern Metropolitan,3940.0,Underground,760000.0
Moorabbin,7 Barbara St,3,h,SP,Woodards,3/12/2016,14.6,3189.0,3.0,2.0,2.0,784.0,160,1960.0,Kingston City Council,-37.9368,145.0568,Southern Metropolitan,2555.0,Parking Pad,1090000.0
Balwyn North,54 Sutton St,3,h,S,Fletchers,15/10/2016,9.2,3104.0,3.0,1.0,1.0,722.0,90,1930.0,Boroondara City Council,-37.7956,145.0829,Southern Metropolitan,7809.0,Attached Garage,1818000.0
Rosanna,109 Ellesmere Pde,3,h,SP,Miles,17/09/2016,11.4,3084.0,3.0,1.0,2.0,927.0,141,1960.0,Banyule City Council,-37.7342,145.0658,Eastern Metropolitan,3540.0,Indoor,1020000.0
Sunshine North,32 Cumberland St,3,h,S,Douglas,9/9/2017,10.5,3020.0,3.0,1.0,2.0,608.0,130,1960.0,Brimbank City Council,-37.77388,144.84369,Western Metropolitan,4217.0,Indoor,770000.0
Templestowe,21 Wood St,4,h,PI,Woodards,23/09/2017,15.5,3106.0,4.0,2.0,2.0,520.0,170,1980.0,Manningham City Council,-37.75436,145.11939,Eastern Metropolitan,6202.0,Attached Garage,910000.0
Thornbury,4/85 St David St,2,u,S,Nelson,24/09/2016,6.5,3071.0,2.0,1.0,1.0,0.0,66,1960.0,Darebin City Council,-37.761,145.0055,Northern Metropolitan,8870.0,Parkade,486000.0
St Albans,21 Shirley St,3,h,S,YPA,8/7/2017,14.0,3021.0,3.0,1.0,0.0,674.0,94,1960.0,Brimbank City Council,-37.73704,144.79108,Western Metropolitan,14042.0,Attached Garage,582000.0
Altona,86 Grieve Pde,3,h,S,Greg,3/9/2017,11.0,3018.0,3.0,2.0,3.0,530.0,148,1985.0,Hobsons Bay City Council,-37.8614,144.81931,Western Metropolitan,5301.0,Outdoor Stall,913000.0
Brighton East,1A Wallen St,2,h,SP,Buxton,27/05/2017,10.3,3187.0,2.0,1.0,1.0,542.0,65,1985.0,Bayside City Council,-37.91704,145.01846,Southern Metropolitan,6938.0,Parking Pad,1035000.0
Brighton,147A Male St,2,t,S,Buxton,25/02/2017,11.2,3186.0,2.0,1.0,2.0,125.0,2,2009.0,Bayside City Council,-37.9078,145.0051,Southern Metropolitan,10579.0,Detached Garage,1037000.0
Elsternwick,12/539 Glen Huntly Rd,2,u,S,Biggin,17/06/2017,7.2,3185.0,2.0,1.0,1.0,1172.0,69,1970.0,Glen Eira City Council,-37.88533,145.01049,Southern Metropolitan,4898.0,Detached Garage,550000.0
Doncaster East,6 Duckett St,3,h,PI,Jellis,24/02/2018,14.3,3109.0,3.0,2.0,4.0,652.0,153,1975.0,Manningham City Council,-37.79769,145.15029,Eastern Metropolitan,10999.0,Indoor,1250000.0
Mulgrave,1 Sneddon Ct,4,h,S,RW,16/09/2017,18.8,3170.0,4.0,2.0,2.0,748.0,152,1996.0,Monash City Council,-37.9265,145.19758,South-Eastern Metropolitan,7113.0,Indoor,1100000.0
